Orig Label	Perturbation	Kat	Wes	GOLD	Subtype	Perturbation_notused	N1	Sentence Raw Text
F	1	F	F	F	F	0	access	OK , I thought , apparently some update means the app now requires access -- nothing new , apps need location access access to photos , and I do n't plan on sharing any words on Twitter anyways , so why not .
I	1	I	I	I	I	0	account	In a statement to CBS News , Prudential terms of the account account to holders , including the interest credited to their account .
I	1	I	I	I	I	0	acre	Mitigation banking could alleviate this problem by requiting functional equivalence between credits and the wetlands they are to compensate , and by requiting a higher ratio of acre acre to wetlands for certain projects.
I	1	I	I	I	I	0	activity	"And indeed , these fragments enter into the life of every urbanite , so that he acts out , in Wirth 's phrase , a number of "" segmented roles , "" which means place , activity activity to , taking on the coloring of each scene , like a chameleon :"
F	1	F	F	F	F	0	acts	Cindy 's comparing her acts acts to committed in the Bible .
F	1	F	F	F	F	0	addiction	It rehearses the addiction to this model , as the model of addiction : the closed loop of self-yielding and self-recovery , of self-addiction and self-abandonment , consumer and consumption , that make up the addiction addiction to and the melodramas of uncertain agency.
J	1	J	J	J	J	0	adult	Your child may have matured greatly and probably is n't the kid who left last fall . * Talk adult adult to . *
J	1	J	J	J	J	0	adult	I learned early on I was n't afraid to speak to adults , and that you had to talk to them not as child to adult , but adult adult to .
J	1	J	J	J	J	0	adult	Seeing any girls ? - Ma , please . - adult adult to .
J	1	J	J	J	J	0	adult	Many times I got the feeling that these were much more like adult adult to conversations , in which the children were exposed to good language in the natural setting of it being their parent who was doing the talking .
F	1	F	F	F	F	0	age	Sidebar Raising the Medicare retirement age age to 67 , a move favored by deficit hawks in both parties , might at first seem to be a reasonable adjustment .
F	1	F	F	F	F	0	age	Well , he wants to raise the gun limit age age to 21 , which seems to me rather silly , ' cause you can fight in the armed services , you can pay all these damn taxes that they 're shoving down our throats unless you happen to have lake-front property in Texas , well , then you do n't pay
J	1	J	J	J	J	0	agency	The work reflected in this report was accomplished prior to the issuance of the Presidential Memorandum on Managing Government Records ( 11/28/11 ) , which requires each agency agency to 's records management program .
J	1	J	J	J	J	0	agent	General Remarks are agent agent to and are only available via agent products ( Matrix , MRIS Homes Mobile App as examples ) .
I	1	I	I	I	I	0	aisle	Emma could have gone through the store with her eyes closed , moving aisle aisle to through perfect memory .
I	1	I	I	I	I	0	album	His sound always evolved album album to since Rhoads died and I ca n't say Down To Earth was anything but yet another progression in his sound .
I	1	I	I	I	I	0	album	album album to , Howe Gelb always seems to know how to infuse just the right amount of talented group of contributors .
I	1	I	I	I	I	0	alley	Not even alley alley to .
F	1	F	F	F	F	0	alot	a super take on this prompt I hate the C-word but I love you &; your blog Judy , I have something to award you with on my blog please come by and pick it up because I thin k you are a writer that I enjoy for so many reason you bring alot alot to of us thank you Janice Cancer ... the evil queen of devastation , tearing out the hearts of families who must carry on .
F	1	F	F	F	F	0	alternatives	alternatives alternatives to are needed .
F	1	J	F	F	F	0	analysts	The effort is aimed at essentially rewiring all the community 's separate and unique computerized networks , so that systems can talk to systems and analysts analysts to .
J	1	J	J	J	J	0	angel	Why do n't you stop by later catch up ... angel angel to .
J	1	I	J	?	J	0	angel	I work solo , angel angel to , exclusively .
F	1	I	F	F	F	0	animals	Since dogs and cats are carnivorous ( cats more so than dogs ) , feeding them to food animals makes it feeding animals animals to ( dogs and cats that 's going to be a hard safety sell .
J	1	J	J	J	J	0	ankle	Because she would n't walk , they herded us into another gully and handcuffed us ankle ankle to reinforcements .
F	1	F	F	F	F	0	antigen	We found that this antigen requires APC-dependent processing , as evidenced by the inability of metabolically inactivated APCs to present native antigen antigen to plus Ia-specific T-T hybridomas .
